family,gene,n_contigs
Moraxellaceae,mecA,0
Moraxellaceae,mefA,0
Moraxellaceae,qnrS1,0
Moraxellaceae,sul1,5
Moraxellaceae,sul2,2
Moraxellaceae,tet(A),5
Moraxellaceae,tet(M),0
Moraxellaceae,vanA,0
Morganellaceae,aac(6')-Ib,3
Morganellaceae,blaCTX-M-15,3
Morganellaceae,blaKPC-2,3
Morganellaceae,blaNDM-1,3
Morganellaceae,blaOXA-48,1
Morganellaceae,blaTEM-1,8
Morganellaceae,blaZ,0
Morganellaceae,catA1,2
Morganellaceae,dfrA17,0
Morganellaceae,ermB,0
Morganellaceae,floR,4
Morganellaceae,mcr-1,0
Morganellaceae,mecA,0
Morganellaceae,mefA,0
Morganellaceae,qnrS1,2
Morganellaceae,sul1,4
Morganellaceae,sul2,4
Morganellaceae,tet(A),1
Morganellaceae,tet(M),0
Morganellaceae,vanA,0
Pseudomonadaceae,aac(6')-Ib,7
Pseudomonadaceae,blaCTX-M-15,0
Pseudomonadaceae,blaKPC-2,3
Pseudomonadaceae,blaNDM-1,3
Pseudomonadaceae,blaOXA-48,0
Pseudomonadaceae,blaTEM-1,4
Pseudomonadaceae,blaZ,0
Pseudomonadaceae,catA1,0
Pseudomonadaceae,dfrA17,0
Pseudomonadaceae,ermB,0
Pseudomonadaceae,floR,1
Pseudomonadaceae,mcr-1,0
Pseudomonadaceae,mecA,0
Pseudomonadaceae,mefA,0
Pseudomonadaceae,qnrS1,0
Pseudomonadaceae,sul1,7
Pseudomonadaceae,sul2,2
Pseudomonadaceae,tet(A),2
Pseudomonadaceae,tet(M),0
Pseudomonadaceae,vanA,0
Staphylococcaceae,aac(6')-Ib,0
Staphylococcaceae,blaCTX-M-15,0
Staphylococcaceae,blaKPC-2,0
Staphylococcaceae,blaNDM-1,0
Staphylococcaceae,blaOXA-48,0
Staphylococcaceae,blaTEM-1,0
Staphylococcaceae,blaZ,4
Staphylococcaceae,catA1,3
Staphylococcaceae,dfrA17,0
Staphylococcaceae,ermB,7
Staphylococcaceae,floR,0
Staphylococcaceae,mcr-1,0
Staphylococcaceae,mecA,7
Staphylococcaceae,mefA,1
Staphylococcaceae,qnrS1,0
Staphylococcaceae,sul1,0
Staphylococcaceae,sul2,0
Staphylococcaceae,tet(A),0
Staphylococcaceae,tet(M),5
Staphylococcaceae,vanA,2
Streptococcaceae,aac(6')-Ib,0
Streptococcaceae,blaCTX-M-15,0
Streptococcaceae,blaKPC-2,0
Streptococcaceae,blaNDM-1,0
Streptococcaceae,blaOXA-48,0
Streptococcaceae,blaTEM-1,0
Streptococcaceae,blaZ,0
Streptococcaceae,catA1,0
Streptococcaceae,dfrA17,0
Streptococcaceae,ermB,6
Streptococcaceae,floR,0
Streptococcaceae,mcr-1,0
Streptococcaceae,mecA,0
Streptococcaceae,mefA,10
Streptococcaceae,qnrS1,0
Streptococcaceae,sul1,0
Streptococcaceae,sul2,0
Streptococcaceae,tet(A),0
Streptococcaceae,tet(M),8
Streptococcaceae,vanA,0
Vibrionaceae,aac(6')-Ib,0
Vibrionaceae,blaCTX-M-15,0
Vibrionaceae,blaKPC-2,0
Vibrionaceae,blaNDM-1,3
Vibrionaceae,blaOXA-48,0
Vibrionaceae,blaTEM-1,8
Vibrionaceae,blaZ,0
Vibrionaceae,catA1,1
Vibrionaceae,dfrA17,1
Vibrionaceae,ermB,0
Vibrionaceae,floR,4
Vibrionaceae,mcr-1,0
Vibrionaceae,mecA,0
Vibrionaceae,mefA,0
Vibrionaceae,qnrS1,4
Vibrionaceae,sul1,1
Vibrionaceae,sul2,9
Vibrionaceae,tet(A),7
Vibrionaceae,tet(M),1
Vibrionaceae,vanA,0
Yersiniaceae,aac(6')-Ib,1
Yersiniaceae,blaCTX-M-15,1
Yersiniaceae,blaKPC-2,3
Yersiniaceae,blaNDM-1,3
Yersiniaceae,blaOXA-48,4
Yersiniaceae,blaTEM-1,7
Yersiniaceae,blaZ,0
Yersiniaceae,catA1,2
Yersiniaceae,dfrA17,1
Yersiniaceae,ermB,0
Yersiniaceae,floR,5
Yersiniaceae,mcr-1,0
Yersiniaceae,mecA,0
Yersiniaceae,mefA,0
Yersiniaceae,qnrS1,2
Yersiniaceae,sul1,5
Yersiniaceae,sul2,2
Yersiniaceae,tet(A),1
Yersiniaceae,tet(M),0
Yersiniaceae,vanA,0
